country, telephone main lines
Japan,63610000
Germany,47020000
Brazil,44100000
Russia,39430000
France,38810000
United Kingdom,33240000
Iran,30590000
Indonesia,29640000
Korea South,29480000
India,27000000
Mexico,21100000
Italy,20570000
Spain,19090000
Canada,16600000
Taiwan,14040000
Turkey,12530000
Ukraine,10460000
Argentina,9400000
Australia,9190000
Venezuela,7810000
Colombia,7200000
Netherlands,7130000
Egypt,6320000
Thailand,5690000
Vietnam,5560000
Greece,5220000
Poland,5040000
Pakistan,4900000
Belgium,4700000
Romania,4600000
Portugal,4590000
Belarus,4500000
Hong Kong,4430000
Malaysia,4410000
Switzerland,4370000
Kazakhstan,4340000
South Africa,4300000
Syria,3990000
Saudi Arabia,3920000
Sweden,3820000
Chile,3400000
Austria,3270000
Algeria,3100000
Philippines,3090000
Peru,3030000
Hungary,3010000
Israel,2900000
Serbia,2860000
Sri Lanka,2700000
Uzbekistan,2510000
Morocco,2490000
Ecuador,2440000
United Arab Emirates,2100000
Ireland,2020000
Singapore,1960000
Iraq,1950000
Czechia,1890000
Denmark,1880000
New Zealand,1850000
Azerbaijan,1800000
Bulgaria,1800000
Guatemala,1720000
Croatia,1570000
Cuba,1260000
Dominican Republic,1230000
Moldova,1220000
Korea North,1180000
Yemen,1170000
Norway,1160000
Georgia,1100000
Bangladesh,1090000
Uruguay,1080000
Cameroon,1050000
Lebanon,970
Tunisia,950
El Salvador,950
Slovakia,920
Laos,920
Costa Rica,880
Bolivia,880
Bosnia And Herzegovina,850
Nepal,840
Puerto Rico,820
Ethiopia,820
Slovenia,770
Libya,710
Finland,640
Turkmenistan,620
Panama,590
Lithuania,590
Armenia,560
Honduras,530
Burma,530
Kuwait,490
Tajikistan,440
Cambodia,440
Kyrgyzstan,440
Qatar,420
Sudan,420
Estonia,410
West Bank,400
Macedonia,390
Latvia,390
Jordan,380
Oman,380
Paraguay,370
Mauritius,370
Nicaragua,340
Cyprus,330
Zimbabwe,330
Uganda,320
Senegal,310
Trinidad And Tobago,290
Angola,280
Bahrain,280
Luxembourg,270
Ghana,260
Madagascar,250
Jamaica,250
Albania,250
Cote D'Ivoire,240
Mongolia,230
Malta,230
Benin,200
Namibia,180
Kenya,180
Nigeria,180
Iceland,170
Botswana,170
Macau,160
Guyana,160
Montenegro,160
Mali,160
Papua New Guinea,150
Barbados,150
Tanzania,150
Bahamas The,140
Burkina Faso,120
Niger,110
Kosovo,110
Zambia,110
Afghanistan,100
New Caledonia,885
Suriname,849
Jersey,839
Virgin Islands,761
Fiji,747
Mozambique,688
Guam,674
Malawi,642
Eritrea,64
Togo,632
Cabo Verde,585
Somalia,572
Gambia The,558
French Polynesia,55
Mauritania,514
Lesotho,512
Monaco,506
Rwanda,496
Brunei,482
Guernsey,451
Swaziland,444
Haiti,41
Andorra,382
Aruba,35
Cayman Islands,329
Saint Lucia,328
Antigua And Barbuda,324
Bermuda,292
Grenada,286
Saint Vincent And The Grenadines,239
Bhutan,238
Chad,236
Comoros,235
Gibraltar,234
Belize,227
Djibouti,219
Burundi,217
Maldives,215
Seychelles,212
Saint Kitts And Nevis,191
San Marino,186
Liechtenstein,18
Dominica,176
Faroe Islands,173
Gabon,172
Greenland,172
Sierra Leone,165
Congo Republic Of The,163
Equatorial Guinea,151
Tonga,12
Samoa,118
British Virgin Islands,118
Liberia,10
American Samoa,99
Kiribati,92
Solomon Islands,75
Cook Islands,72
Palau,71
Micronesia Federated States Of,7
Sao Tome And Principe,68
Anguilla,59
Vanuatu,57
Guinea-Bissau,5
Saint Pierre And Miquelon,48
Montserrat,31
Saint Helena Ascension And Tristan Da Cunha,3
Timor-Leste,3
Marshall Islands,24
Falkland Islands (Islas Malvinas),21
Tuvalu,15
Central African Republic,800
Congo Democratic Republic Of The,0
Nauru,0
Guinea,0
