place,date,average_temp,minimum_temp,maximum_temp
330,20160101,66,28,90
330,20160102,72,52,93
330,20160103,71,46,89
330,20160104,68,47,80
330,20160105,69,54,77
330,20160106,62,48,73
330,20160107,69,57,90
330,20160108,68,48,84
330,20160109,64,52,89
330,20160110,68,51,89
330,20160111,59,41,75
330,20160112,69,53,79
330,20160113,62,37,76
330,20160114,45,22,59
330,20160115,41,15,59
330,20160116,49,14,66
330,20160117,16,-28,48
330,20160118,-15,-30,8
330,20160119,2,-59,44
330,20160120,37,1,63
330,20160121,6,-12,29
330,20160122,29,1,82
330,20160123,77,60,99
330,20160124,82,54,110
330,20160125,103,80,135
330,20160126,87,67,104
330,20160127,103,80,112
330,20160128,69,56,88
330,20160129,89,61,101
330,20160130,74,54,94
330,20160131,77,57,111
330,20160201,101,94,109
